Revelations,Source documents & publications,Intelligence agencies,Countries,Authorisation for surveillance,Codename of surveillance programme(s),Type of surveillance,Type of data collected,Data collection source
FISA Court Order Demanding US call records from Verizon,https://edwardsnowden.com/revelations#fisa-court-order-demanding-us-call-records ,"NSA, FBI",USA,FISA Court order,,Data collection,Calls records,Verizon
PRISM: an NSA partnership with US service providers,https://edwardsnowden.com/revelations#prism-an-nsa-partnership-with-us-service-providers ,NSA,GLB,Fisa Amendments Act (FAA) Section 702,PRISM,"Data collection, Data mining, Access to stored communications","Emails, chats, videos, file transfers, photos, stored data, VoIP, video conferencing, logins, online social networking details","Directly from the servers of Microsoft, Google, Apple, Facebook, Yahoo, AOL, PalTalk, Skype, YouTube"
Boundless Informant illustrates NSA's global reach,https://edwardsnowden.com/revelations#boundless-informant ,NSA,GLB,FISA Amendments Act 2008,Boundless Informant,"Data collection, Data mining",Communications metadata,Computer and telephone networks
GCHQ's cable-tapping Tempora operation,https://edwardsnowden.com/revelations#gchq-tempora-porgramme ,GCHQ,GLB,Regulation of Investigatory Powers Act (RIPA),Tempora,Interception of communications,"Emails, chats, videos, instant messages, photos, browsing history, calls and text messages",Fibre-optic cables
Internal investigation of post-9/11 warrantless wiretapping,https://edwardsnowden.com/revelations#internal-investigation-of-post-9/11-warrantless-wiretapping-program ,NSA,GLB,"Business Records Order, Foreign Content Order, Domestic Content Order, FISA Amendments Act 2008",STELLARWIND,"Bulk data collection, Wiretapping, Metadata and content analysis","Email records, Content and associated metadata of telephony and internet communications","Fibre-optic cables, gateway switches, data networks, “Chokepoints” in the international telephone switching system"
Authorisation for NSA analysis of US-based electronic metadata,https://edwardsnowden.com/revelations#authorization-for-nsa-analysis,NSA,USA,FISA Amendments Act 2008,,Metadata analysis by “contact chaining”,"Email records, IP addresses, Telephone numbers","Fibre-optic cables, gateway switches, data networks, “Chokepoints” in the international telephone switching system"
Extended data collection: EvilOlive and ShellTrumpet,https://edwardsnowden.com/revelations#extended-data-collection ,NSA,USA,FISA Amendments Act 2008,"EvilOlive, ShellTrumpet","Collection of internet traffic, Near real-time metadata analysis, Performance monitoring, Direct email tip alterting","Internet traffic, Email records, Internet metadata ","Fibre-optic cables, gateway switches, data networks"
PRISM data acquisition,https://edwardsnowden.com/revelations#prism-data-aquisition ,"NSA, FBI, CIA",GLB,FISA Amendments Act 2008,"PRISM, Upstream","Data collection, Data mining, Access to stored communications","Emails, chats, videos, file transfers, photos, stored data, VoIP, video conferencing, logins, online social networking details","PRISM: Directly from the servers of Microsoft, Google, Apple, Facebook, Yahoo, AOL, PalTalk, Skype, YouTube. Upstream: Fibre-optic cables "
"Large scale NSA activity in Germany, with domestic cooperation",https://edwardsnowden.com/revelations#nsa-in-germany ,"NSA, BND",DEU,FISA Amendments Act 2008,Boundless Informant,"Data collection, Processing of connection data from telephone calls in “near real time”","Metadata of telephone calls, emails, text messages and chat transcripts",Computer and telephone networks
XKeyScore – the NSA search tool for “nearly everything”,https://edwardsnowden.com/revelations#xkeyscore-the-nsa-search-tool-for-nearly-everything ,NSA,GLB,FISA Amendments Act 2008,XkeyScore,"Content data and metadata collection, Searches “nearly everything a user does on the internet”, Data mining","Content and metadata of emails, Social media activity, browsing history, online chats","Fibre-optic cables, gateway switches, data networks"
